frame,time_sec,hand,normalized_distance,head_scale_px,head_source,wrist_x,wrist_y,head_cx,head_cy,c0_x,c0_y,c4_x,c4_y,c8_x,c8_y,c12_x,c12_y,c16_x,c16_y,c20_x,c20_y
574,19.133,Right,1.6017,166.43,ear,360.43,451.74,712.18,283.70,360.43,451.74,474.72,404.82,425.01,436.28,405.58,431.22,387.53,424.44,375.00,408.82
574,19.133,Left,1.9748,166.43,ear,1095.50,511.05,712.18,283.70,1095.50,511.05,990.24,458.90,1050.86,479.05,1065.60,480.92,1076.88,476.90,1084.11,463.24
575,19.167,Right,1.6078,166.49,ear,358.99,456.06,711.92,285.20,358.99,456.06,472.95,405.84,422.34,437.58,404.18,433.86,385.07,427.98,370.27,414.41
575,19.167,Left,2.0045,166.49,ear,1088.81,517.87,711.92,285.20,1088.81,517.87,991.89,466.85,1053.99,485.26,1068.37,484.35,1078.82,477.80,1085.42,463.29
576,19.200,Right,1.6518,166.65,ear,358.27,459.25,711.90,284.74,358.27,459.25,466.98,410.39,422.98,439.78,405.33,433.24,386.01,427.64,371.53,412.77
576,19.200,Left,2.0335,166.65,ear,1092.56,519.85,711.90,284.74,1092.56,519.85,991.08,476.84,1048.83,497.63,1064.87,491.71,1074.82,478.11,1080.52,458.82
577,19.233,Right,1.6368,166.73,ear,362.87,459.34,711.82,285.55,362.87,459.34,468.16,408.44,423.50,437.25,404.09,430.62,386.39,424.44,374.41,409.96
577,19.233,Left,2.0195,166.73,ear,1093.40,521.98,711.82,285.55,1093.40,521.98,984.36,483.26,1026.76,487.73,1056.49,489.94,1072.89,482.38,1081.00,464.03
578,19.267,Right,1.6308,166.44,ear,366.60,459.38,711.77,288.55,366.60,459.38,469.04,410.03,427.72,435.82,408.73,431.13,390.06,425.83,377.90,411.70
578,19.267,Left,2.0174,166.44,ear,1092.09,524.94,711.77,288.55,1092.09,524.94,980.27,490.18,1031.48,496.56,1054.64,491.96,1070.85,485.23,1081.14,470.52
579,19.300,Right,1.6283,166.49,ear,367.34,462.05,711.69,288.00,367.34,462.05,470.87,412.49,428.99,436.92,409.48,431.64,391.96,425.74,381.12,412.50
580,19.333,Right,1.6374,166.60,ear,371.80,468.94,711.87,288.04,371.80,468.94,470.82,415.76,432.38,440.59,413.20,433.54,394.72,426.65,380.62,414.70
580,19.333,Left,2.0868,166.60,ear,1088.38,548.96,711.87,288.04,1088.38,548.96,973.67,516.79,1009.21,478.91,1023.58,470.16,1035.85,462.72,1055.50,454.06
581,19.367,Right,1.6664,165.00,ear,372.18,477.18,712.98,289.86,372.18,477.18,470.56,419.63,431.89,445.98,413.50,438.52,395.23,431.76,381.93,419.34
581,19.367,Left,2.1509,165.00,ear,1088.31,536.02,712.98,289.86,1088.31,536.02,977.09,526.94,1012.26,493.79,1028.17,485.02,1043.43,476.05,1047.72,445.40
582,19.400,Right,1.7329,163.48,ear,367.06,470.86,716.42,290.27,367.06,470.86,466.95,424.50,429.23,444.47,410.51,438.94,392.96,431.54,381.55,419.23
582,19.400,Left,2.0038,163.48,ear,1084.06,527.85,716.42,290.27,1084.06,527.85,953.69,530.15,982.77,480.96,997.55,466.76,1011.74,452.72,1038.02,439.49
583,19.433,Right,1.7436,163.93,ear,367.34,468.21,717.70,291.91,367.34,468.21,464.27,424.06,428.55,442.98,409.98,437.73,391.15,432.10,379.36,420.11
583,19.433,Left,2.0606,163.93,ear,1083.73,527.15,717.70,291.91,1083.73,527.15,955.89,531.43,1001.11,483.03,1019.83,475.54,1031.61,462.40,1048.63,446.42
584,19.467,Right,1.7511,163.47,ear,363.33,465.25,717.68,296.39,363.33,465.25,460.56,422.19,426.35,439.06,405.20,435.14,388.55,428.06,377.27,415.84
584,19.467,Right,2.0582,163.47,ear,1085.87,512.03,717.68,296.39,1085.87,512.03,957.64,532.21,1044.16,503.14,1054.24,494.13,1061.91,480.14,1070.79,470.54
585,19.500,Right,1.7964,163.90,ear,366.32,459.46,717.81,298.25,366.32,459.46,451.56,423.96,427.49,431.46,410.41,424.76,391.85,419.55,377.00,410.37
585,19.500,Left,2.1007,163.90,ear,1101.94,520.81,717.81,298.25,1101.94,520.81,967.04,535.80,1050.33,491.49,1066.92,487.20,1072.25,477.64,1079.55,468.17
586,19.533,Right,1.7367,165.16,ear,362.22,452.18,720.01,299.24,362.22,452.18,456.19,411.83,422.86,427.13,403.08,420.95,384.41,416.63,371.07,406.29
586,19.533,Right,2.0863,165.16,ear,1109.32,521.97,720.01,299.24,1109.32,521.97,1049.21,441.61,1070.99,474.12,1072.96,491.30,1066.78,502.49,971.16,535.16
587,19.567,Right,1.7800,165.36,ear,361.28,449.08,720.80,300.93,361.28,449.08,457.46,432.42,425.16,428.50,404.99,423.02,385.23,417.53,371.75,406.56
587,19.567,Left,2.0847,165.36,ear,1108.92,524.25,720.80,300.93,1108.92,524.25,976.15,532.52,1059.42,493.66,1075.21,486.02,1083.13,476.17,1091.21,464.45
588,19.600,Right,1.6785,167.51,ear,362.20,458.54,722.74,299.98,362.20,458.54,466.94,416.66,430.39,429.08,408.94,423.84,387.85,417.52,374.20,404.19
588,19.600,Left,2.0570,167.51,ear,1107.06,529.46,722.74,299.98,1107.06,529.46,980.09,529.10,1061.29,498.89,1077.31,492.49,1084.90,481.36,1090.23,466.74
589,19.633,Right,1.6493,167.26,ear,363.61,458.04,725.66,299.99,363.61,458.04,472.47,409.51,427.74,432.12,408.69,426.19,389.04,419.38,376.76,405.75
589,19.633,Right,2.0763,167.26,ear,1115.83,527.53,725.66,299.99,1115.83,527.53,1034.92,457.99,1082.20,475.83,1083.83,488.13,1076.20,495.23,1065.74,504.11
590,19.667,Right,1.6252,168.66,ear,366.15,459.45,726.94,301.16,366.15,459.45,474.44,407.84,429.04,432.75,408.58,425.66,388.75,419.12,375.70,406.27
590,19.667,Right,2.1176,168.66,ear,1115.60,522.00,726.94,301.16,1115.60,522.00,1073.00,434.02,1079.33,466.10,1076.24,485.25,1068.06,495.75,1017.35,509.06
591,19.700,Right,1.6237,168.36,ear,361.18,458.13,727.86,303.13,361.18,458.13,474.00,404.50,427.47,431.07,407.57,422.99,388.39,415.63,374.00,403.28
592,19.733,Right,1.6425,169.02,ear,362.03,456.96,730.55,303.04,362.03,456.96,472.11,404.43,427.43,428.22,407.93,421.33,387.85,415.53,372.00,404.43
593,19.767,Right,1.6156,173.03,ear,360.81,453.06,733.45,302.51,360.81,453.06,472.10,401.74,426.25,423.28,407.64,417.33,389.03,411.47,373.87,400.50
594,19.800,Right,1.5853,175.48,ear,362.48,444.79,736.39,302.95,362.48,444.79,474.29,396.18,428.08,417.51,410.40,412.34,392.41,406.23,379.22,395.57
595,19.833,Right,1.5806,174.83,ear,370.54,437.47,738.49,302.90,370.54,437.47,477.41,393.49,433.15,410.03,413.64,403.87,396.60,395.55,383.68,384.33
596,19.867,Right,1.5435,175.47,ear,372.19,424.53,738.36,303.57,372.19,424.53,482.70,392.99,439.75,398.79,419.92,392.42,403.97,382.72,389.98,370.31
597,19.900,Right,1.4832,176.61,ear,380.27,411.36,738.81,304.65,380.27,411.36,486.29,374.33,439.21,386.46,422.97,378.82,408.69,370.92,396.22,360.56
598,19.933,Right,1.4386,177.18,ear,388.56,395.38,737.27,304.72,388.56,395.38,492.42,375.54,458.58,369.18,443.11,360.89,425.69,353.20,412.73,343.65
599,19.967,Right,1.3176,177.84,ear,399.24,381.73,736.88,305.68,399.24,381.73,506.83,350.18,473.73,356.21,458.37,342.11,443.97,331.04,430.43,318.19
600,20.000,Right,1.2529,178.03,ear,404.43,356.77,735.22,307.40,404.43,356.77,514.80,341.64,495.35,329.08,479.40,316.88,464.28,306.46,448.16,296.74
601,20.033,Right,1.1703,177.81,ear,410.56,327.38,731.54,308.60,410.56,327.38,524.70,331.35,520.38,311.14,497.22,295.64,478.97,282.50,461.50,273.59
602,20.067,Left,1.0644,177.01,ear,418.41,306.67,727.31,309.89,418.41,306.67,468.19,239.28,516.60,241.37,532.57,258.48,540.70,283.90,537.07,315.87
